"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\10_A9.d" ,"1" ,0.363,0.378,0.391,19.67,21.20,2.99,61.24,2.03,0.029,0.030,-1.16,-30.20,0.355,0.356,0.394,0.394,-1.16,-30.20,0.42,3.35,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\10_A9.d" ,"2" ,0.408,0.426,0.481,10.78,24.51,3.46,33.56,2.35,0.073,0.035,-0.01,1.51,0.394,0.394,0.465,0.487,-0.01,-0.04,3.48,10.76,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\10_A9.d" ,"3" ,0.481,0.511,0.566,10.38,26.23,3.70,32.31,2.51,0.086,0.036,1.51,0.86,0.465,0.487,0.560,0.571,-0.04,-0.08,1.13,10.32,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\10_A9.d" ,"4" ,0.572,0.592,0.642,32.11,34.60,4.88,100.00,3.32,0.070,0.015,1.41,0.36,0.560,0.571,0.653,0.655,-0.08,-0.11,1.71,32.03,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\10_A9.d" ,"5" ,1.117,1.169,1.281,16.61,48.79,6.89,51.73,4.68,0.164,0.045,-0.18,-0.10,1.104,1.108,1.281,1.284,-0.18,-0.10,1.61,16.46,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\10_A9.d" ,"6" ,3.086,3.204,3.368,15.70,94.48,13.34,48.90,9.06,0.282,0.094,-0.83,-0.76,3.075,3.082,3.379,3.381,-0.83,-0.76,1.25,14.90,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\10_A9.d" ,"7" ,3.388,3.499,3.617,16.10,85.11,12.01,50.13,8.16,0.229,0.083,-0.75,-1.03,3.379,3.381,3.626,3.636,-0.75,-1.03,1.02,15.21,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\10_A9.d" ,"8" ,6.642,6.871,8.000,28.30,708.42,100.00,88.12,67.90,1.358,0.408,-1.99,-0.26,6.638,6.642,7.999,8.000,-1.99,-0.26,3.98,26.60,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\100_H6.d"," DAD1 - B:Sig=260,4  Ref=360,60 100_H6.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\100_H6.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\100_H6.d" ,"1" ,0.406,0.425,0.484,11.94,31.06,4.38,42.18,3.13,0.077,0.039,-1.73,1.70,0.394,0.394,0.461,0.489,-1.73,-1.20,3.60,10.34,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\100_H6.d" ,"2" ,0.484,0.511,0.566,10.41,28.22,3.98,36.79,2.84,0.082,0.041,1.70,0.58,0.461,0.489,0.562,0.571,-1.20,-0.63,1.18,9.41,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\100_H6.d" ,"3" ,0.571,0.592,0.645,28.01,30.82,4.35,98.97,3.10,0.073,0.015,1.05,0.11,0.562,0.571,0.651,0.655,-0.59,-0.08,1.67,27.56,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\100_H6.d" ,"4" ,1.125,1.175,1.325,14.21,41.74,5.89,50.19,4.20,0.201,0.045,-0.20,-0.25,1.119,1.121,1.271,1.274,-0.20,-0.14,1.59,14.02,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\100_H6.d" ,"5" ,3.122,3.224,3.391,13.41,80.33,11.34,47.37,8.08,0.269,0.093,-0.71,-0.87,3.103,3.106,3.389,3.400,-0.71,-0.90,1.23,12.62,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\100_H6.d" ,"6" ,3.399,3.511,3.626,14.25,73.20,10.33,50.35,7.36,0.227,0.081,-0.86,-1.11,3.389,3.400,3.631,3.637,-0.92,-1.11,1.03,13.24,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\100_H6.d" ,"7" ,6.641,6.867,7.997,28.30,708.55,100.00,100.00,71.29,1.356,0.408,-2.08,-0.28,6.639,6.642,7.997,7.999,-2.08,-0.28,4.19,26.52,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\102_H7.d"," DAD1 - B:Sig=260,4  Ref=360,60 102_H7.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\102_H7.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\102_H7.d" ,"1" ,0.407,0.425,0.484,13.40,34.76,4.90,47.38,3.46,0.076,0.039,-1.70,2.10,0.394,0.395,0.462,0.489,-1.70,-1.27,3.69,11.80,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\102_H7.d" ,"2" ,0.484,0.511,0.568,11.76,33.11,4.67,41.58,3.30,0.084,0.042,2.10,1.13,0.462,0.489,0.560,0.574,-1.27,-0.80,1.27,10.64,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\102_H7.d" ,"3" ,0.569,0.601,0.661,25.21,33.46,4.72,89.16,3.33,0.092,0.017,1.16,-0.25,0.560,0.574,0.661,0.665,-0.79,-0.27,1.07,24.61,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\102_H7.d" ,"4" ,1.160,1.216,1.326,13.66,41.64,5.87,48.30,4.15,0.166,0.047,-0.26,-0.20,1.149,1.153,1.326,1.328,-0.26,-0.20,1.58,13.42,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\102_H7.d" ,"5" ,3.176,3.296,3.442,13.38,80.21,11.31,47.33,7.99,0.266,0.094,-0.90,-0.88,3.168,3.170,3.448,3.451,-0.91,-0.88,1.25,12.48,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\102_H7.d" ,"6" ,3.476,3.569,3.676,15.53,71.45,10.07,54.91,7.12,0.200,0.073,-0.94,-1.12,3.464,3.469,3.679,3.682,-0.94,-1.12,1.07,14.50,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\102_H7.d" ,"7" ,6.641,6.867,7.998,28.28,709.29,100.00,100.00,70.65,1.357,0.409,-2.01,-0.26,6.639,6.641,7.997,8.000,-2.01,-0.26,4.14,26.56,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\103_H8.d"," DAD1 - B:Sig=260,4  Ref=360,60 103_H8.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\103_H8.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\103_H8.d" ,"1" ,0.367,0.380,0.393,8.80,8.02,1.13,23.74,0.76,0.026,0.020,-0.45,-10.26,0.355,0.357,0.396,0.396,-0.45,-10.26,0.36,3.60,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\103_H8.d" ,"2" ,0.408,0.423,0.492,7.63,17.66,2.50,20.59,1.67,0.084,0.032,-0.13,0.97,0.396,0.396,0.482,0.498,-0.13,-0.08,5.04,7.51,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\103_H8.d" ,"3" ,0.492,0.515,0.565,5.01,10.80,1.53,13.51,1.02,0.073,0.031,0.97,-0.04,0.482,0.498,0.567,0.569,-0.08,-0.04,1.36,4.94,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\103_H8.d" ,"4" ,0.575,0.593,0.646,37.06,38.30,5.42,100.00,3.62,0.071,0.015,0.49,0.11,0.567,0.569,0.655,0.658,-0.04,0.00,1.90,37.03,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\103_H8.d" ,"5" ,1.129,1.182,1.296,20.13,58.85,8.32,54.33,5.56,0.167,0.044,-0.33,-0.20,1.120,1.123,1.294,1.297,-0.34,-0.27,1.60,19.81,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\103_H8.d" ,"6" ,3.116,3.239,3.399,18.71,113.32,16.02,50.48,10.71,0.283,0.094,-0.95,-0.86,3.109,3.114,3.398,3.401,-0.97,-0.86,1.23,17.78,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\103_H8.d" ,"7" ,3.418,3.520,3.642,20.53,103.56,14.64,55.41,9.79,0.223,0.079,-0.83,-1.09,3.403,3.406,3.639,3.644,-0.83,-1.23,1.06,19.52,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\103_H8.d" ,"8" ,6.646,6.871,7.999,28.24,707.25,100.00,76.21,66.86,1.353,0.408,-2.07,-0.35,6.636,6.641,7.999,8.000,-2.07,-0.35,3.99,26.45,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\104_H9.d"," DAD1 - B:Sig=260,4  Ref=360,60 104_H9.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\104_H9.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\104_H9.d" ,"1" ,0.362,0.378,0.391,19.69,21.08,2.98,46.96,1.84,0.029,0.031,-1.22,-29.43,0.354,0.356,0.394,0.394,-1.22,-29.43,0.40,3.35,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\104_H9.d" ,"2" ,0.407,0.424,0.483,11.15,26.45,3.74,26.60,2.31,0.076,0.036,-0.11,1.78,0.394,0.394,0.463,0.489,-0.11,-0.07,3.87,11.05,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\104_H9.d" ,"3" ,0.483,0.511,0.566,10.05,25.65,3.63,23.98,2.24,0.083,0.036,1.78,0.74,0.463,0.489,0.561,0.571,-0.07,-0.02,1.07,10.00,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\104_H9.d" ,"4" ,0.574,0.592,0.645,41.93,44.73,6.33,100.00,3.91,0.072,0.015,1.67,0.31,0.561,0.571,0.654,0.656,-0.02,0.02,1.80,41.92,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\104_H9.d" ,"5" ,0.685,0.717,0.769,3.65,7.13,1.01,8.71,0.62,0.084,0.029,0.28,0.14,0.654,0.656,0.755,0.780,0.05,0.09,1.54,3.72,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\104_H9.d" ,"6" ,1.122,1.174,1.289,21.87,64.43,9.11,52.15,5.63,0.167,0.045,-0.19,-0.09,1.112,1.122,1.288,1.291,-0.19,-0.09,1.61,21.71,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\104_H9.d" ,"7" ,3.100,3.222,3.386,20.63,124.28,17.58,49.19,10.87,0.286,0.094,-0.85,-0.71,3.084,3.088,3.384,3.388,-0.85,-0.71,1.25,19.84,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\104_H9.d" ,"8" ,3.395,3.509,3.619,21.38,110.89,15.69,50.99,9.70,0.224,0.082,-0.68,-0.79,3.384,3.388,3.631,3.635,-0.68,-0.79,1.04,20.64,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\104_H9.d" ,"9" ,3.764,3.819,3.886,3.63,12.06,1.71,8.67,1.05,0.121,0.053,-1.14,-1.48,3.756,3.764,3.905,3.907,-1.14,-1.48,1.01,2.34,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\104_H9.d" ,"10" ,6.641,6.866,7.999,28.27,706.94,100.00,67.41,61.81,1.358,0.408,-2.03,-0.26,6.635,6.640,7.998,8.000,-2.03,-0.26,4.15,26.53,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\105_H10.d"," DAD1 - B:Sig=260,4  Ref=360,60 105_H10.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\105_H10.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\105_H10.d" ,"1" ,0.363,0.377,0.391,19.94,21.30,3.01,35.43,1.51,0.028,0.030,-1.00,-30.73,0.355,0.356,0.393,0.394,-1.00,-30.73,0.42,3.64,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\105_H10.d" ,"2" ,0.394,0.424,0.482,41.15,161.85,22.86,73.12,11.44,0.089,0.084,-33.29,2.00,0.393,0.394,0.461,0.488,-33.29,-22.53,2.40,11.60,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\105_H10.d" ,"3" ,0.482,0.510,0.566,10.24,26.02,3.68,18.19,1.84,0.084,0.036,2.00,0.85,0.461,0.488,0.561,0.570,0.14,0.22,1.06,10.40,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\105_H10.d" ,"4" ,0.572,0.591,0.642,56.29,59.30,8.38,100.00,4.19,0.070,0.015,1.64,0.75,0.561,0.570,0.649,0.660,0.22,0.29,1.78,56.53,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\105_H10.d" ,"5" ,0.681,0.714,0.755,4.86,8.80,1.24,8.64,0.62,0.074,0.028,0.41,0.46,0.649,0.660,0.751,0.779,0.32,0.39,1.53,5.22,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\105_H10.d" ,"6" ,1.117,1.169,1.268,29.31,86.01,12.15,52.07,6.08,0.152,0.045,-0.12,0.17,1.109,1.113,1.316,1.320,-0.12,0.13,1.61,29.28,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\105_H10.d" ,"7" ,3.096,3.215,3.377,27.68,166.59,23.53,49.19,11.78,0.281,0.094,-0.75,-0.51,3.072,3.080,3.382,3.385,-0.75,-0.51,1.20,27.03,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\105_H10.d" ,"8" ,3.388,3.502,3.626,28.16,150.72,21.29,50.02,10.65,0.239,0.084,-0.51,-0.73,3.382,3.385,3.631,3.635,-0.51,-0.73,1.05,27.54,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\105_H10.d" ,"9" ,3.640,3.696,3.759,2.41,8.57,1.21,4.29,0.61,0.118,0.057,-0.70,-0.98,3.631,3.635,3.758,3.760,-0.70,-1.05,0.93,1.55,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\105_H10.d" ,"10" ,3.759,3.817,3.902,5.10,17.62,2.49,9.06,1.25,0.143,0.055,-0.98,-1.48,3.758,3.760,3.906,3.909,-1.05,-1.48,1.08,3.87,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\105_H10.d" ,"11" ,6.642,6.864,8.000,28.25,707.87,100.00,50.20,50.04,1.358,0.408,-2.00,-0.26,6.635,6.642,7.999,8.000,-2.00,-0.26,4.24,26.54,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\106_H11.d"," DAD1 - B:Sig=260,4  Ref=360,60 106_H11.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\106_H11.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\106_H11.d" ,"1" ,0.364,0.378,0.391,18.85,19.52,2.76,32.46,1.54,0.028,0.030,-0.90,-27.81,0.355,0.356,0.394,0.394,-0.90,-27.81,0.39,3.90,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\106_H11.d" ,"2" ,0.407,0.424,0.484,11.33,27.03,3.82,19.51,2.13,0.077,0.036,-0.05,1.92,0.394,0.394,0.461,0.489,-0.05,0.02,3.98,11.30,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\106_H11.d" ,"3" ,0.484,0.511,0.566,9.70,23.41,3.31,16.69,1.85,0.082,0.034,1.92,0.76,0.461,0.489,0.561,0.571,0.02,0.10,1.02,9.75,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\106_H11.d" ,"4" ,0.573,0.591,0.644,58.09,61.28,8.66,100.00,4.84,0.071,0.015,1.55,0.59,0.561,0.571,0.650,0.663,0.11,0.17,1.88,58.22,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\106_H11.d" ,"5" ,1.120,1.170,1.278,30.49,88.91,12.56,52.48,7.02,0.158,0.044,-0.13,0.10,1.111,1.114,1.296,1.299,-0.13,0.07,1.63,30.42,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\106_H11.d" ,"6" ,3.095,3.214,3.375,28.52,171.57,24.24,49.09,13.54,0.280,0.094,-0.79,-0.52,3.081,3.084,3.375,3.386,-0.79,-0.52,1.24,27.85,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\106_H11.d" ,"7" ,3.385,3.500,3.618,29.41,155.94,22.03,50.63,12.31,0.234,0.083,-0.53,-0.65,3.375,3.386,3.631,3.634,-0.62,-0.65,1.07,28.77,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\106_H11.d" ,"8" ,3.758,3.814,3.882,3.37,11.33,1.60,5.81,0.89,0.124,0.054,-1.10,-1.44,3.754,3.758,3.912,3.921,-1.10,-1.44,1.05,2.12,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\106_H11.d" ,"9" ,6.640,6.866,7.997,28.24,707.80,100.00,48.61,55.87,1.357,0.409,-2.04,-0.26,6.636,6.641,7.996,8.000,-2.04,-0.26,4.20,26.49,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\107_H12.d"," DAD1 - B:Sig=260,4  Ref=360,60 107_H12.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\107_H12.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\107_H12.d" ,"1" ,0.364,0.378,0.391,18.23,19.36,2.73,41.79,1.71,0.028,0.030,-0.96,-28.63,0.355,0.357,0.394,0.394,-0.96,-28.63,0.42,3.23,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\107_H12.d" ,"2" ,0.408,0.424,0.485,10.85,25.55,3.61,24.86,2.26,0.078,0.035,-0.02,1.57,0.394,0.394,0.468,0.491,-0.02,0.05,4.08,10.85,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\107_H12.d" ,"3" ,0.485,0.511,0.566,8.84,20.25,2.86,20.25,1.79,0.081,0.031,1.57,0.62,0.468,0.491,0.561,0.571,0.05,0.11,1.16,8.91,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\107_H12.d" ,"4" ,0.575,0.593,0.646,43.63,45.62,6.44,100.00,4.03,0.071,0.015,1.61,0.35,0.561,0.571,0.654,0.658,0.12,0.18,1.86,43.77,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\107_H12.d" ,"5" ,1.126,1.175,1.279,23.01,67.22,9.49,52.74,5.94,0.154,0.045,-0.18,-0.03,1.117,1.121,1.278,1.281,-0.18,-0.04,1.60,22.87,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\107_H12.d" ,"6" ,3.111,3.223,3.366,21.47,128.44,18.14,49.21,11.34,0.256,0.094,-0.78,-0.55,3.089,3.091,3.390,3.393,-0.78,-0.55,1.21,20.79,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\107_H12.d" ,"7" ,3.396,3.508,3.631,22.73,117.83,16.64,52.09,10.41,0.234,0.082,-0.72,-0.95,3.395,3.399,3.639,3.641,-0.72,-0.95,1.06,21.90,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\107_H12.d" ,"8" ,6.640,6.864,7.999,28.25,707.98,100.00,64.75,62.53,1.359,0.408,-2.06,-0.30,6.635,6.642,7.999,8.000,-2.06,-0.30,4.26,26.48,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\12_A10.d"," DAD1 - B:Sig=260,4  Ref=360,60 12_A10.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\12_A10.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\12_A10.d" ,"1" ,0.364,0.379,0.392,18.33,19.13,2.71,55.65,1.77,0.028,0.030,-1.14,-25.97,0.356,0.357,0.394,0.395,-1.14,-25.97,0.41,4.05,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\12_A10.d" ,"2" ,0.408,0.424,0.484,9.97,20.13,2.86,30.28,1.86,0.075,0.032,1.21,2.10,0.394,0.395,0.460,0.489,1.21,1.70,3.63,11.29,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\12_A10.d" ,"3" ,0.484,0.510,0.550,7.62,13.95,1.98,23.13,1.29,0.066,0.028,2.10,2.23,0.460,0.489,0.559,0.574,1.70,2.12,1.71,9.49,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\12_A10.d" ,"4" ,0.586,0.601,0.644,32.94,35.31,5.01,100.00,3.26,0.057,0.016,1.89,0.99,0.559,0.574,0.663,0.665,1.80,0.89,1.90,34.51,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\12_A10.d" ,"5" ,1.160,1.213,1.328,19.81,59.74,8.47,60.15,5.52,0.168,0.046,-0.22,-0.14,1.152,1.154,1.327,1.330,-0.22,-0.14,1.54,19.62,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\12_A10.d" ,"6" ,3.161,3.285,3.450,19.33,116.29,16.49,58.67,10.74,0.288,0.094,-0.88,-0.87,3.151,3.154,3.449,3.453,-0.91,-0.87,1.21,18.43,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\12_A10.d" ,"7" ,3.465,3.561,3.669,22.14,104.04,14.76,67.21,9.61,0.204,0.074,-0.84,-0.93,3.464,3.466,3.677,3.680,-0.84,-0.93,1.07,21.26,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\12_A10.d" ,"8" ,3.791,3.844,3.906,2.92,9.16,1.30,8.86,0.85,0.115,0.050,-1.17,-1.46,3.787,3.796,3.929,3.931,-1.17,-1.46,1.06,1.61,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\12_A10.d" ,"9" ,6.646,6.869,7.999,28.23,705.10,100.00,85.71,65.11,1.353,0.408,-1.91,-0.19,6.635,6.646,7.997,8.000,-1.91,-0.19,3.95,26.61,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\13_A11.d"," DAD1 - B:Sig=260,4  Ref=360,60 13_A11.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\13_A11.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
